Community,Avg_time
COUGAR RIDGE,4.166
CORNERSTONE,4.648
CORAL SPRINGS,4.4768
COPPERFIELD,4.8869
COLLINGWOOD,3.7602
COACH HILL,2.0496
CLIFF BUNGALOW,3.5908
CITYSCAPE,3.605
CITADEL,4.882
CHRISTIE PARK,3.5134
CHINOOK PARK,4.234
CHINATOWN,2.398
CHARLESWOOD,3.4356
CHAPARRAL,3.793
CEDARBRAE,2.1892
CASTLERIDGE,3.1176
CARRINGTON,3.0293
CAPITOL HILL,1.7879
CANYON MEADOWS,4.7382
CANADA OLYMPIC PARK,4.1532
CAMBRIAN HEIGHTS,3.2447
CALGARY INTERNATIONAL AIRPORT,4.1785
BURNS INDUSTRIAL,4.1546
BRITANNIA,2.3862
BRIDLEWOOD,3.0324
BRIDGELAND/RIVERSIDE,3.0622
BRENTWOOD,3.9849
BRAESIDE,2.9407
BOWNESS,3.2236
BONAVISTA DOWNS,3.0506
BELVEDERE,8.1041
BELTLINE,1.92
BELMONT,4.689
BEL-AIRE,2.5166
BEDDINGTON HEIGHTS,3.4885
BAYVIEW,3.5116
BANKVIEW,2.1201
BANFF TRAIL,2.406
AURORA BUSINESS PARK,2.442
AUBURN BAY,3.969
ASPEN WOODS,5.9276
ARBOUR LAKE,4.722
APPLEWOOD PARK,5.723
AMBLETON,4.8654
ALYTH/BONNYBROOK,3.9356
ALTADORE,2.65
ALPINE PARK,4.9726
ALBERT PARK/RADISSON HEIGHTS,2.3784
ACADIA,3.742
ABBEYDALE,5.11
13M,4.6228
13J,3.6971
13I,2.175
13H,5.877
13G,4.0656
13F,11.1236
13E,4.782
13C,3.517
13A,2.9146
12L,2.7204
12K,9.0518
12J,10.864
12I,5.8234
12C,10.016
12B,10.3955
12A,10.884
10E,9.4966
10D,7.1828
09Q,8.486
09P,1.7075
09O,10.8118
09K,7.8241
09H,3.8142
09D,3.8384
06C,1.7778
06B,3.698
06A,6.9794
05G,8.4391
05F,1.7844
05E,5.1914
05D,2.1016
03W,6.5064
02L,11.057
02K,6.825
02F,4.245
02E,3.6317
02C,6.6896
02B,6.0482
01K,4.6107
01I,3.0725
01H,3.4686
01F,4.5508
01C,
01B,3.995
