Community,Avg_time
DOWNTOWN COMMERCIAL CORE,0.963564663
DOVER,2.000651284
DOUGLASDALE/GLEN,5.313434860
DISCOVERY RIDGE,3.559811242
DIAMOND COVE,7.597200717
DEERFOOT BUSINESS CENTRE,3.710438596
DEER RUN,8.079860000
DEER RIDGE,6.611714825
DALHOUSIE,3.294419982
CURRIE BARRACKS,3.262589674
CRESTMONT,8.874568552
CRESCENT HEIGHTS,2.113283129
CRANSTON,7.436003817
COVENTRY HILLS,2.617377328
COUNTRY HILLS VILLAGE,1.548387283
COUNTRY HILLS,2.636715166
COUGAR RIDGE,3.273118730
CORNERSTONE,5.391362768
CORAL SPRINGS,3.997099794
COPPERFIELD,3.707851151
COLLINGWOOD,3.574239802
COACH HILL,1.419738650
CLIFF BUNGALOW,1.740904110
CITYSCAPE,3.925366687
CITADEL,4.237222073
CHRISTIE PARK,2.914238014
CHINOOK PARK,3.679589286
CHINATOWN,0.720336634
CHARLESWOOD,2.929067536
CHAPARRAL,8.306148495
CEDARBRAE,1.335564926
CASTLERIDGE,2.720112836
CARRINGTON,5.067665172
CAPITOL HILL,3.766663551
CANYON MEADOWS,3.972124391
CANADA OLYMPIC PARK,4.990857143
CAMBRIAN HEIGHTS,2.648548518
CALGARY INTERNATIONAL AIRPORT,4.536190476
BURNS INDUSTRIAL,3.608069767
BRITANNIA,2.167354839
BRIDLEWOOD,6.300329062
BRIDGELAND/RIVERSIDE,2.115186931
BRENTWOOD,2.896784266
BRAESIDE,2.191118457
BOWNESS,3.639368046
BONAVISTA DOWNS,6.509531414
BELVEDERE,7.807476190
BELTLINE,0.962138796
BELMONT,8.659242340
BEL-AIRE,2.073255952
BEDDINGTON HEIGHTS,3.049429299
BAYVIEW,3.275400881
BANKVIEW,2.670328395
BANFF TRAIL,2.951862853
AURORA BUSINESS PARK,3.974366667
AUBURN BAY,5.162533897
ASPEN WOODS,4.806343683
ARBOUR LAKE,4.111611249
APPLEWOOD PARK,5.169048537
AMBLETON,7.319815126
ALYTH/BONNYBROOK,4.517071633
ALTADORE,3.209794502
ALPINE PARK,8.319058824
ALBERT PARK/RADISSON HEIGHTS,2.003718991
ACADIA,2.776839364
ABBEYDALE,4.489298650
13M,9.3493125
13J,9.32375
13I,7.076333333
13H,8.4375
13G,9.666555556
13F,13.588307692
13E,15.87
13C,12.931666667
13A,16.2002
12L,10.19872
12K,10.608210526
12J,8.893094340
12I,9.861666667
12C,11.803171429
12B,11.384157895
12A,12.019187251
10E,7.910172414
10D,6.5496
09Q,6.84625
09P,9.204107143
09O,9.615096774
09K,10.019875
09H,3.6272
09D,3.626333333
06C,7.739142857
06B,8.934285714
06A,5.806883721
05G,10.9595
05F,9.896428571
05E,8.338826087
05D,7.148470588
03W,7.947897959
02L,8.441428571
02K,6.600571429
02F,3.516181818
02E,2.59325
02C,6.620631579
02B,6.07725
01K,3.137777778
01I,9.121423077
01H,9.354307692
01F,8.936514286
01C,7.770611111
01B,4.588263158
